sample,word,freq,per1000,total_words,author
11,not,2,6.622516556291391,302,satoshi
11,off,0,0,302,satoshi
11,other,1,3.3112582781456954,302,satoshi
11,ought,0,0,302,satoshi
11,our,0,0,302,satoshi
11,out,0,0,302,satoshi
11,over,0,0,302,satoshi
11,own,0,0,302,satoshi
11,same,0,0,302,satoshi
11,should,0,0,302,satoshi
11,some,2,6.622516556291391,302,satoshi
11,such,0,0,302,satoshi
11,than,1,3.3112582781456954,302,satoshi
11,that,8,26.490066225165563,302,satoshi
11,the,23,76.15894039735099,302,satoshi
11,their,1,3.3112582781456954,302,satoshi
11,them,0,0,302,satoshi
11,then,4,13.245033112582782,302,satoshi
11,there,1,3.3112582781456954,302,satoshi
11,these,0,0,302,satoshi
11,they,0,0,302,satoshi
11,this,1,3.3112582781456954,302,satoshi
11,those,0,0,302,satoshi
11,through,1,3.3112582781456954,302,satoshi
11,too,0,0,302,satoshi
11,under,2,6.622516556291391,302,satoshi
11,until,0,0,302,satoshi
11,was,0,0,302,satoshi
11,were,0,0,302,satoshi
11,what,0,0,302,satoshi
11,when,2,6.622516556291391,302,satoshi
11,where,0,0,302,satoshi
11,which,1,3.3112582781456954,302,satoshi
11,while,0,0,302,satoshi
11,who,0,0,302,satoshi
11,with,5,16.556291390728475,302,satoshi
11,would,1,3.3112582781456954,302,satoshi
11,you,10,33.11258278145695,302,satoshi
11,your,6,19.867549668874172,302,satoshi
11,yourself,1,3.3112582781456954,302,satoshi
12,about,0,0,138,satoshi
12,after,0,0,138,satoshi
12,again,0,0,138,satoshi
12,against,0,0,138,satoshi
12,all,0,0,138,satoshi
12,and,4,28.985507246376812,138,satoshi
12,are,1,7.246376811594203,138,satoshi
12,been,0,0,138,satoshi
12,below,0,0,138,satoshi
12,between,0,0,138,satoshi
12,both,0,0,138,satoshi
12,but,1,7.246376811594203,138,satoshi
12,cannot,0,0,138,satoshi
12,could,0,0,138,satoshi
12,did,0,0,138,satoshi
